2026-03-16 16:04:25,728 | INFO | Trained model=pipe_SS304_PTFE_full_vacuum_NB300.joblib | item_type=pipe, material=SS304, material=SS304, lining=PTFE, condition=full_vacuum, nb=300 | rows=34 | r2=1.0
2026-03-16 16:04:25,735 | INFO | Trained model=pipe_SS304_PTFE_non_vacuum_NB25.joblib | item_type=pipe, material=SS304, material=SS304, lining=PTFE, condition=non_vacuum, nb=25 | rows=34 | r2=1.0
2026-03-16 16:04:25,743 | INFO | Trained model=pipe_SS304_PTFE_non_vacuum_NB40.joblib | item_type=pipe, material=SS304, material=SS304, lining=PTFE, condition=non_vacuum, nb=40 | rows=34 | r2=1.0
2026-03-16 16:04:25,751 | INFO | Trained model=pipe_SS304_PTFE_non_vacuum_NB50.joblib | item_type=pipe, material=SS304, material=SS304, lining=PTFE, condition=non_vacuum, nb=50 | rows=34 | r2=1.0
2026-03-16 16:04:25,759 | INFO | Trained model=pipe_SS304_PTFE_non_vacuum_NB80.joblib | item_type=pipe, material=SS304, material=SS304, lining=PTFE, condition=non_vacuum, nb=80 | rows=34 | r2=1.0
2026-03-16 16:04:25,766 | INFO | Trained model=pipe_SS304_PTFE_non_vacuum_NB100.joblib | item_type=pipe, material=SS304, material=SS304, lining=PTFE, condition=non_vacuum, nb=100 | rows=34 | r2=1.0
2026-03-16 16:04:25,774 | INFO | Trained model=pipe_SS304_PTFE_non_vacuum_NB150.joblib | item_type=pipe, material=SS304, material=SS304, lining=PTFE, condition=non_vacuum, nb=150 | rows=34 | r2=1.0
2026-03-16 16:04:25,781 | INFO | Trained model=pipe_SS304_PTFE_non_vacuum_NB200.joblib | item_type=pipe, material=SS304, material=SS304, lining=PTFE, condition=non_vacuum, nb=200 | rows=34 | r2=1.0
2026-03-16 16:04:25,789 | INFO | Trained model=pipe_SS304_PTFE_non_vacuum_NB250.joblib | item_type=pipe, material=SS304, material=SS304, lining=PTFE, condition=non_vacuum, nb=250 | rows=34 | r2=1.0
2026-03-16 16:04:25,796 | INFO | Trained model=pipe_SS304_PTFE_non_vacuum_NB300.joblib | item_type=pipe, material=SS304, material=SS304, lining=PTFE, condition=non_vacuum, nb=300 | rows=34 | r2=1.0
